f_player_id,count,wins,date
11704335,3,1,2020-10-24
11704335,8,7,2020-10-25
11704335,7,3,2020-10-26
11704335,26,16,2020-10-27
11704335,23,16,2020-10-28
11704335,11,6,2020-10-29
11704335,8,5,2020-11-03
11704335,3,1,2020-11-04
11704335,1,1,2020-11-05
11704335,1,1,2020-11-07
11704335,1,1,2020-11-13
11705724,4,4,2020-10-21
11706275,15,9,2020-07-07
11706275,12,10,2020-07-09
11706275,2,2,2020-07-10
11706275,1,0,2020-07-26
11706275,1,1,2020-07-29
11706275,2,1,2020-08-05
11706275,1,1,2020-08-08
11706275,4,3,2020-08-09
11706275,4,2,2020-08-10
11706275,2,2,2020-08-22
11706275,1,1,2020-09-22
11706275,1,0,2020-10-18
11706275,8,5,2020-10-28
11706275,10,9,2020-10-29
11706275,18,13,2020-10-30
11706275,17,15,2020-10-31
11706275,2,2,2020-11-01
11706275,12,6,2020-11-02
11706275,2,1,2020-11-03
11712058,3,2,2020-07-05
11712058,1,0,2020-07-09
11712058,2,1,2020-07-11
11712058,1,0,2020-09-23
11712058,1,0,2020-09-25
11712058,1,1,2020-10-17
11712058,1,1,2020-10-30
11714615,2,2,2020-07-06
11719944,5,4,2020-08-21
11719944,1,1,2020-08-28
11719944,1,1,2020-09-04
11719944,3,2,2020-09-06
11719944,2,1,2020-09-09
11719944,1,0,2020-09-17
11719944,1,1,2020-09-27
11719944,1,0,2020-09-28
11719944,3,2,2020-10-03
11720800,2,1,2020-10-08
11722390,15,12,2020-06-02
11722390,3,3,2020-06-03
11722390,18,11,2020-06-07
11722390,4,3,2020-06-13
11722390,5,2,2020-06-19
11722390,3,2,2020-06-21
11722390,20,15,2020-06-26
11722390,9,6,2020-06-28
11722390,5,2,2020-07-04
11722390,11,8,2020-07-05
11722390,12,8,2020-07-08
11722390,2,2,2020-07-09
11722390,6,3,2020-07-11
11722390,5,3,2020-07-16
11722390,4,1,2020-07-17
11722390,12,8,2020-07-18
11722390,10,9,2020-07-19
11722390,2,0,2020-07-24
11722390,11,8,2020-07-25
11722390,4,3,2020-08-02
11722390,2,0,2020-08-05
11722390,7,5,2020-08-10
11722390,2,2,2020-08-11
11722390,3,3,2020-08-12
11722390,4,2,2020-08-15
11722390,1,1,2020-08-18
11722390,6,3,2020-08-22
11722390,30,26,2020-08-23
11722390,1,1,2020-08-24
11722390,1,1,2020-08-25
11722390,9,5,2020-08-30
11722390,5,4,2020-09-01
11722390,1,0,2020-09-02
11722390,5,3,2020-09-06
11722390,6,5,2020-09-09
11722390,2,0,2020-09-12
11722390,2,2,2020-09-15
11722390,5,5,2020-11-01
11722390,3,1,2020-11-18
11722390,1,1,2020-11-19
11722390,4,2,2020-11-20
11722390,11,5,2020-11-22
11722390,22,13,2020-11-24
11722390,1,1,2020-11-25
11722390,5,3,2020-11-26
11722390,3,2,2020-11-27
11722390,3,3,2020-11-28
11722390,12,7,2020-11-30
11722504,4,1,2020-07-24
11722504,1,0,2020-07-25
11794881,5,5,2020-06-06
11794881,5,4,2020-08-16
11794881,1,0,2020-08-23
11794881,5,2,2020-08-24
11880291,4,0,2020-08-04
11880291,4,2,2020-08-06
11880621,4,1,2020-08-28
11880621,10,5,2020-08-29
11880621,2,2,2020-08-30
11880621,7,4,2020-09-30
11880621,1,0,2020-11-01
11898070,3,3,2020-09-25
11898070,1,0,2020-09-26
11898070,1,1,2020-10-09
11898070,5,4,2020-10-23
11898070,3,3,2020-10-24
11931745,1,0,2020-07-06
11931745,6,1,2020-07-25
